author,authorID,samID,title,year,repName,varName,count,newsamID,DisplayName,latitude,longitude
adams,1,1,jews,1812,england,england,67,1,England,51.5,-0.116666667
adams,1,1,newengland,1799,eng land,eng land|england,124,1,England,51.5,-0.116666667
aikin,2,42,epistles,1810,england's,england's,2,1,England,51.5,-0.116666667
aikin,2,1,epistles,1810,england,england,1,1,England,51.5,-0.116666667
anger,3,1,protection,1589,england,england,1,1,England,51.5,-0.116666667
ariadne,4,1,venture,1696,england,england,1,1,England,51.5,-0.116666667
askew,115,441,first,1546,englande,englande|englDande,2,1,Englande,51.5,-0.116666667
bacon,116,441,apologie,1564,englande,englande,6,1,Englande,51.5,-0.116666667
barbauld,5,1,works2,1826,england,england,28,1,England,51.5,-0.116666667
barbauld,5,1,legacy,1826,england,england,5,1,England,51.5,-0.116666667
barbauld,5,42,works1,1826,england's,england's,2,1,England,51.5,-0.116666667
barbauld,5,1,works1,1826,england,england,3,1,England,51.5,-0.116666667
barber,6,1,poems,1734,england,england,1,1,England,51.5,-0.116666667
barker,7,42,recreations,1688,england's,england's,2,1,England,51.5,-0.116666667
barker,7,1,patchwork,1723,england,england,6,1,England,51.5,-0.116666667
barker,7,1,recreations,1688,england,england,5,1,England,51.5,-0.116666667
barker,7,1,love,1713,england,england,1,1,England,51.5,-0.116666667
barker,7,1,lining,1726,england:,england:|england,24,1,England,51.5,-0.116666667
behn,8,1,emperor,1688,england,england,1,1,England,51.5,-0.116666667
behn,8,1,miscellany,1685,england,england,5,1,England,51.5,-0.116666667
behn,8,1,widow,1690,eng land,eng land|england,23,1,England,51.5,-0.116666667
behn,8,42,happycoronation,1685,england's,england's|englands,3,1,England,51.5,-0.116666667
behn,8,1,patient,1678,england,england,3,1,England,51.5,-0.116666667
benger,9,1,geniad,1791,england,england,4,1,England,51.5,-0.116666667
biddle,10,1,trumpet,1662,england,england,4,1,England,51.5,-0.116666667
bradstreet,11,1,several,1678,en gland,en gland|england,4,1,England,51.5,-0.116666667
bradstreet,11,42,tenthmuse,1650,england's,england's|englands,2,1,England,51.5,-0.116666667
bradstreet,11,42,several,1678,englands,englands,2,1,England,51.5,-0.116666667
bradstreet,11,1,tenthmuse,1650,england,england,7,1,England,51.5,-0.116666667
brooke,12,42,emily,1769,england's,england's,1,1,England,51.5,-0.116666667
brooke,12,1,emily,1769,eng land,eng land|england,107,1,England,51.5,-0.116666667
brooks,13,1,idomen,1843,england,england,6,1,England,51.5,-0.116666667
brooks,13,1,zophiel1834,1834,england,england,3,1,England,51.5,-0.116666667
bullard,14,1,reformation,1832,england,england,8,1,England,51.5,-0.116666667
campbell,139,42,poems,1816,england's,england's,3,1,England,51.5,-0.116666667
candler,157,2307,poetical,1803,englengland,englengland,1,1,Englengland,51.5,-0.116666667
candler,157,42,poetical,1803,england's,england's,1,1,England,51.5,-0.116666667
carleton,15,1,case,1663,eng land,eng land|england,8,1,England,51.5,-0.116666667
cartwright,16,1,jewes,1649,england,england,2,1,England,51.5,-0.116666667
cary-e,17,441,edoct,1680,englande,englande,1,1,Englande,51.5,-0.116666667
cary-e,17,1,history,1680,england,england,17,1,England,51.5,-0.116666667
cary-e,17,1,edoct,1680,england,england,14,1,England,51.5,-0.116666667
cary-m,18,1,doom,1651,eng land,eng land|england,18,1,England,51.5,-0.116666667
cassan,99,42,poems,1806,england's,england's,1,1,England,51.5,-0.116666667
cavendish,19,1,william,1667,england,england,54,1,England,51.5,-0.116666667
cavendish,19,1,62n-apocriphal,1662,england,england,1,1,England,51.5,-0.116666667
cavendish,19,1,62b-loves,1662,england,england,2,1,England,51.5,-0.116666667
cavendish,19,1,olio,1655,england,england,5,1,England,51.5,-0.116666667
cavendish,19,2307,62n-apocriphal,1662,engl.england,engl.england,1,1,Englengland,51.5,-0.116666667
cavendish,19,1,62e-lady,1662,england,england,1,1,England,51.5,-0.116666667
cavendish,19,1,natpix,1656,england,england,15,1,England,51.5,-0.116666667
cellier,20,42,maldef,1680,englands,englands,1,1,England,51.5,-0.116666667
cellier,20,1,maldef,1680,england,england,7,1,England,51.5,-0.116666667
centlivre,21,1,bewitched,1709,england,england,1,1,England,51.5,-0.116666667
centlivre,21,1,wonderwoman,1714,england,england,4,1,England,51.5,-0.116666667
centlivre,21,1,platlady,1707,england,england,3,1,England,51.5,-0.116666667
chalmers,22,1,poems,1813,england,england,4,1,England,51.5,-0.116666667
chandler,23,42,essays,1845,england's,england's,1,1,England,51.5,-0.116666667
chandler,23,1,essays,1845,england,england,3,1,England,51.5,-0.116666667
chandler,23,1,poetical,1845,england,england,3,1,England,51.5,-0.116666667
cheney,24,1,pilgrimpeep,1824,en gland,en gland|eng land|england,49,1,England,51.5,-0.116666667
chidley,25,42,just,1641,englands,englands,2,1,England,51.5,-0.116666667
chidley,25,1,newyeares,1645,england,england,6,1,England,51.5,-0.116666667
chidley,25,1,just,1641,england,england,63,1,England,51.5,-0.116666667
child,26,1,appeal,1833,eng land,eng land|england,48,1,England,51.5,-0.116666667
clark,27,1,esquimaux01,1819,eng land,eng land|england,18,1,England,51.5,-0.116666667
cowley,28,1,greencoat,1813,england,england,4,1,England,51.5,-0.116666667
cowley,28,1,greybeards,1786,england,england,1,1,England,51.5,-0.116666667
cowley,28,1,belles,1813,england,england,6,1,England,51.5,-0.116666667
cowley,28,1,albina,1813,england,england,3,1,England,51.5,-0.116666667
cowley,28,42,poems,1813,england's,england's|eng land's,12,1,England,51.5,-0.116666667
cowley,28,1,dupe,1813,england,england,1,1,England,51.5,-0.116666667
cowley,28,1,bold,1813,england,england,3,1,England,51.5,-0.116666667
cowley,28,1,moreways,1813,england,england,1,1,England,51.5,-0.116666667
cowley,28,1,runaway,1813,england,england,8,1,England,51.5,-0.116666667
cowley,28,1,theman,1813,england,england,9,1,England,51.5,-0.116666667
cowley,28,1,townbefore,1813,england,england,1,1,England,51.5,-0.116666667
cowley,28,1,poems,1813,england,england,13,1,England,51.5,-0.116666667
cowley,28,1,pitcairne,1786,england,england,1,1,England,51.5,-0.116666667
cushing,29,1,saratoga1,1824,eng land,eng land|england,15,1,England,51.5,-0.116666667
cushing,29,1,letters,1832,england,england,5,1,England,51.5,-0.116666667
cushing,29,1,saratoga2,1824,england,england,10,1,England,51.5,-0.116666667
davies,30,1,kingsofearth,1633,england,england,2,1,England,51.5,-0.116666667
davies,30,1,blessing,1644,england,england,3,1,England,51.5,-0.116666667
davies,30,1,greatbritain,1645,england,england,1,1,England,51.5,-0.116666667
davies,30,1,honorable,1649,england,england,1,1,England,51.5,-0.116666667
davies,30,1,cryingcharge,1649,england,england,4,1,England,51.5,-0.116666667
davies,30,1,blasphemous,1649,england,england,2,1,England,51.5,-0.116666667
davies,30,1,wordofgod,1644,england,england,4,1,England,51.5,-0.116666667
davies,30,42,gospel,1649,en glands,en glands,1,1,England,51.5,-0.116666667
davies,30,1,bethlehem,1652,england,england,1,1,England,51.5,-0.116666667
davies,30,42,honorable,1649,englands,englands,1,1,England,51.5,-0.116666667
davys,31,1,coquet,1752,england,england,2,1,England,51.5,-0.116666667
defleury,32,1,liberty,1790,england,england,2,1,England,51.5,-0.116666667
deverell,33,42,maryqueen,1792,england's,england's,19,1,England,51.5,-0.116666667
deverell,33,1,maryqueen,1792,england,england,14,1,England,51.5,-0.116666667
downing,34,1,femalefriend,1816,england,england,8,1,England,51.5,-0.116666667
