authorID,newsamID,textCount,latitude,longitude,DisplayName,author,count
1,2565,"newengland, 2",37.8,-78.5,Abemarle,Adams,2
107,2564,"miscellanies, 1",51.667,-1.283,Abingdon,Jones-M,1
29,2564,"saratoga2, 1",51.667,-1.283,Abingdon,Cushing,1
1,2563,"newengland, 1",45,-63,Acadia,Adams,1
24,2563,"pilgrimpeep, 1",45,-63,Acadia,Cheney,1
79,2563,"aborigines, 1",45,-63,Acadia,Sigourney,1
89,2562,"changingscenes, 4",37.71861111,-75.66722222,"Acomac, Virginia",Unknown,4
1,2560,"jews, 2",41.66666667,26.56666667,Adrianople,Adams,2
32,2550,"liberty, 1",50.46361111,2.141666667,Agincourt,Defleury,1
8,2550,"miscellany, 1",50.46361111,2.141666667,Agincourt,Behn,1
81,2549,"desmond, 2",45.33333333,3,Aiquemont,Smith,2
81,2548,"desmond, 2",46.02333333,3.203055556,Aiqueperce,Smith,2
119,2547,"poeticalworks, 1",55.458,-4.629,Air,Little,1
32,2547,"divinepoems, 1",55.458,-4.629,Air,Defleury,1
79,2547,"aborigines, 1",55.458,-4.629,Air,Sigourney,1
49,2545,"memoir, 2",13.46666667,-16.58333333,Aku,Kilham,2
76,2544,"aborigine, 3",29.50638889,-82.28194444,Alachua Savanna,Sanders,3
19,2541,"william, 1",49.77138889,1.753055556,Albemarle,Cavendish,1
7,2541,"recreations, 1",49.77138889,1.753055556,Albemarle,Barker,1
42,2540,"nightbefore, 2",40,-4,Alcazar,Garnett,2
74,2537,"alabama, 2",38.69972222,-79.53277778,Alleghany,Royall,2
79,2537,"aborigines, 8",38.69972222,-79.53277778,Alleghany,Sigourney,8
89,2537,"changingscenes, 2",38.69972222,-79.53277778,Alleghany,Unknown,2
49,2536,"memoir, 2",8.484444444,-13.23444444,Allen's Town,Kilham,2
45,2535,"anjou, 2",55.41575,-1.70607,Alnwick,Holford,2
1,2533,"newengland, 2",40.52016,-74.271331,Amboy,Adams,2
61,2529,"poemsplay, 2",54.7173,-6.2055,Antrim,Nooth,2
95,2526,"humblethanksgiving, 2",36.21666667,37.16666667,Aram,Whitrow,2
11,2525,"tenthmuse, 1; several, 1",40.0184,48.4535,Araxis,Bradstreet,2
60,2522,"gleaner, 2",49.88166667,1.126944444,Argues,Murray,2
11,2519,"tenthmuse, 1; several, 1",36.21666667,37.16666667,Arpad,Bradstreet,2
41,2517,"sonnets, 2",50.85439,-0.5539,Arundel Castle,Finch-B,2
1,2515,"newengland, 1",51.1465,0.8676,Ashford,Adams,1
96,2515,"fallriver, 1",51.1465,0.8676,Ashford,Williams,1
