simpleName,repList,,count,samID,newsamID,comments,latitude,longitude,uniqIDnowuseless,DisplayName
avon|avons,avon|avon's,,11,657|1670,8008,,,,657|1670,Avon
branford,branford,,2,2455,8009,,,,2455,Branford
burton,burton,,4,1240,8010,,,,1240,Burton
england|englande|englands|englengland,england|eng land|england:|en gland|england;|englande|england's|englands|en glands|englengland|engl.england,,1784,1|441|42|2307,1,one of several rivers in England|one of several rivers in England|?|Too many Burtons in England to figure out||||,51.5,-0.116666667,1|441|42|2307,England
france|frances|fraunce,france|france.|france;|france's|fraunce,,912,2|1543|1539,2,||,48.85,2.35,2|1543|1539,France
london|londons,london|lon don|london;|london's|londons,,838,3|815,3,|,51.50722222,-0.1275,3|815,London
rome|romes,rome|rome's|romes,,858,4|71,4,|,41.9,12.5,4|71,Rome
america|americancontinent|americas,america|ame rica|amer ica|american continent|america's,,500,5|2532|1687,5,||,21.31611111,-81.25055556,5|2532|1687,America
paris,paris,,449,6,6,,48.8567,2.3508,6,Paris
heaven,heaven|hea ven,,365,7,7,Biblical place,NA,NA,7,Heaven
hierusalem|ierusalem|ierusalems|jerusalem|jerusalems,"hierusalem|ierusalem|ie rusalem|ierusalems|jerusalem|jeru salem|jerusa lem|jerusalem,|jerusalem.|jerusalem;|jerusalems",,458,571|49|1494|8|1485,8,||||,31.78333333,35.21666667,571|49|1494|8|1485,Jerusalem
europe|europes,"europe|europe,|europe's|europes",,380,9|162,9,|,53.58333333,23.1,9|162,Europe
mass|massachusetts|massachusettsprovince,mass|mass.|massachusetts|massa chusetts|massachusetts'|massachu setts|mas sachusetts|massachusetts province,,340,693|10|2085,10,||,42.3,-71.8,693|10|2085,Massachusetts 
newyork|newyorkisland,new york|new- york|new-york|new york.|new-york;|new-york island,,317,11|938,11,|,40.7127,-74.0059,11|938,New York
spain|spaine|spaines|spains|spayne,spain|spain;|spaine|spaines|spain's|spains|spayne,,361,12|220|771|283|1837,12,||||,40,-4,12|220|771|283|1837,Spain
newengland|newenglands,new england|new-england|new eng land|new england's|new-england's,,300,13|1129,13,|,44,-71,13|1129,New England
